code;municipal;zone;section;name;census;abstentions;v_cast;v_invalid;v_valid;v_white
80;DICASTILLO;1;1;U;620.0;170;450.0;2;448;13
81;DONAMARIA;1;1;U;311.0;26;285.0;2;283;8
82;ETXALAR;1;1;U;666.0;174;492.0;3;489;29
83;ECHARRI;1;1;U;47.0;15;32.0;0;32;2
84;ETXARRI-ARANATZ;1;1;A;514.0;133;381.0;2;379;5
84;ETXARRI-ARANATZ;1;1;B;395.0;100;295.0;2;293;6
84;ETXARRI-ARANATZ;1;1;C;29.0;7;22.0;0;22;0
84;ETXARRI-ARANATZ;2;1;A;480.0;132;348.0;0;348;2
84;ETXARRI-ARANATZ;2;1;B;475.0;103;372.0;10;362;4
85;ETXAURI;1;1;U;360.0;46;314.0;5;309;14
86;EGUES;1;1;A;496.0;131;365.0;0;365;4
86;EGUES;1;1;B;1.018;275;743.0;2;741;19
87;ELGORRIAGA;1;1;U;171.0;27;144.0;3;141;1
88;NOAIN (VALLE DE ELORZ) / NOAIN;1;1;A;432.0;136;296.0;2;294;15
88;NOAIN (VALLE DE ELORZ) / NOAIN;1;1;B;549.0;226;323.0;4;319;15
88;NOAIN (VALLE DE ELORZ) / NOAIN;1;1;C;501.0;215;286.0;3;283;6
88;NOAIN (VALLE DE ELORZ) / NOAIN;1;2;A;521.0;209;312.0;4;308;15
88;NOAIN (VALLE DE ELORZ) / NOAIN;1;2;B;580.0;207;373.0;8;365;11
88;NOAIN (VALLE DE ELORZ) / NOAIN;1;2;C;548.0;189;359.0;5;354;10
89;ENERIZ;1;1;U;168.0;31;137.0;4;133;2
90;ERATSUN;1;1;U;162.0;43;119.0;0;119;4
91;ERGOIEN;1;1;U;439.0;164;275.0;1;274;5
92;ERRO;1;1;A;261.0;80;181.0;1;180;5
92;ERRO;1;1;B;443.0;125;318.0;4;314;7
93;EZCAROZ;1;1;U;322.0;132;190.0;2;188;4
94;ESLAVA;1;1;U;166.0;52;114.0;0;114;5
95;ESPARZA;1;1;U;116.0;16;100.0;1;99;1
96;ESPRONCEDA;1;1;U;165.0;16;149.0;1;148;11
97;ESTELLA / LIZARRA;1;1;A;413.0;138;275.0;3;272;11
97;ESTELLA / LIZARRA;1;1;B;449.0;165;284.0;3;281;12
97;ESTELLA / LIZARRA;1;2;A;604.0;258;346.0;0;346;8
97;ESTELLA / LIZARRA;1;2;B;587.0;242;345.0;10;335;6
97;ESTELLA / LIZARRA;2;1;A;398.0;186;212.0;5;207;9
97;ESTELLA / LIZARRA;2;1;B;441.0;195;246.0;4;242;5
97;ESTELLA / LIZARRA;2;2;A;533.0;194;339.0;4;335;6
97;ESTELLA / LIZARRA;2;2;B;568.0;222;346.0;2;344;7
97;ESTELLA / LIZARRA;2;3;A;455.0;145;310.0;4;306;2
97;ESTELLA / LIZARRA;2;3;B;454.0;142;312.0;2;310;5
97;ESTELLA / LIZARRA;2;4;A;489.0;159;330.0;0;330;13
97;ESTELLA / LIZARRA;2;4;B;570.0;216;354.0;6;348;11
97;ESTELLA / LIZARRA;2;4;C;489.0;166;323.0;1;322;13
97;ESTELLA / LIZARRA;2;5;A;533.0;165;368.0;4;364;7
97;ESTELLA / LIZARRA;2;5;B;552.0;171;381.0;2;379;6
97;ESTELLA / LIZARRA;2;6;A;516.0;138;378.0;4;374;9
97;ESTELLA / LIZARRA;2;6;B;555.0;150;405.0;1;404;6
97;ESTELLA / LIZARRA;2;6;C;551.0;176;375.0;4;371;4
97;ESTELLA / LIZARRA;2;7;A;403.0;127;276.0;1;275;4
97;ESTELLA / LIZARRA;2;7;B;404.0;123;281.0;2;279;7
97;ESTELLA / LIZARRA;3;1;U;707.0;262;445.0;3;442;9
98;ESTERIBAR;1;1;A;482.0;167;315.0;16;299;9
98;ESTERIBAR;1;1;B;462.0;143;319.0;5;314;11
98;ESTERIBAR;1;1;C;342.0;121;221.0;0;221;5
99;ETAYO;1;1;U;87.0;8;79.0;0;79;3
100;EULATE;1;1;U;339.0;153;186.0;2;184;4
101;EZCABARTE;1;1;A;518.0;233;285.0;5;280;4
101;EZCABARTE;1;1;B;460.0;160;300.0;1;299;15
102;EZKURRA;1;1;U;216.0;112;104.0;0;104;1
103;EZPROGUI;1;1;U;55.0;16;39.0;0;39;3
104;FALCES;1;1;A;519.0;113;406.0;9;397;10
104;FALCES;1;1;B;517.0;118;399.0;7;392;7
104;FALCES;2;1;A;642.0;182;460.0;4;456;9
104;FALCES;2;1;B;552.0;132;420.0;4;416;6
105;FITERO;1;1;U;759.0;92;667.0;3;664;8
105;FITERO;2;1;A;516.0;65;451.0;6;445;4
105;FITERO;2;1;B;525.0;83;442.0;6;436;4
106;FONTELLAS;1;1;U;577.0;84;493.0;2;491;11
107;FUNES;1;1;A;406.0;43;363.0;3;360;4
107;FUNES;1;1;B;370.0;54;316.0;3;313;6
107;FUNES;2;1;A;500.0;74;426.0;2;424;9
107;FUNES;2;1;B;474.0;77;397.0;5;392;4
108;FUSTIÑANA;1;1;A;521.0;94;427.0;4;423;13
108;FUSTIÑANA;1;1;B;471.0;97;374.0;2;372;12
108;FUSTIÑANA;2;1;A;533.0;115;418.0;3;415;12
108;FUSTIÑANA;2;1;B;407.0;72;335.0;5;330;7
109;GALAR;1;1;A;416.0;119;297.0;5;292;6
109;GALAR;1;1;B;560.0;199;361.0;1;360;9
110;GALLIPIENZO;1;1;U;161.0;72;89.0;0;89;4
111;GALLUES;1;1;U;114.0;31;83.0;0;83;3
112;GARAIOA;1;1;U;118.0;34;84.0;0;84;0
113;GARDE;1;1;U;191.0;87;104.0;0;104;2
114;GARINOAIN;1;1;U;279.0;63;216.0;3;213;1
115;GARRALDA;1;1;U;200.0;67;133.0;0;133;3
116;GENEVILLA;1;1;U;119.0;20;99.0;0;99;5
117;GOIZUETA;1;1;A;375.0;101;274.0;5;269;9
117;GOIZUETA;1;1;B;424.0;140;284.0;7;277;4
118;GOÑI;1;1;U;186.0;76;110.0;2;108;1
119;GUESA;1;1;U;76.0;25;51.0;0;51;3
120;GUESALAZ;1;1;U;428.0;147;281.0;0;281;13
121;GUIRGUILLANO;1;1;U;79.0;16;63.0;1;62;4
122;HUARTE / UHARTE;1;1;A;588.0;164;424.0;6;418;11
122;HUARTE / UHARTE;1;1;B;585.0;168;417.0;3;414;5
122;HUARTE / UHARTE;1;2;A;573.0;182;391.0;2;389;15
122;HUARTE / UHARTE;1;2;B;556.0;195;361.0;1;360;5
123;UHARTE-ARAKIL;1;1;U;624.0;309;315.0;2;313;4
124;IBARGOITI;1;1;U;215.0;51;164.0;1;163;5
125;IGUZQUIZA;1;1;U;298.0;107;191.0;0;191;5
126;IMOTZ;1;1;U;370.0;115;255.0;0;255;2
127;IRAÑETA;1;1;U;129.0;35;94.0;0;94;3
128;ISABA / IZABA;1;1;U;468.0;116;352.0;1;351;12
129;ITUREN;1;1;U;384.0;62;322.0;4;318;4
130;ITURMENDI;1;1;U;316.0;105;211.0;1;210;3
131;IZA;1;1;A;227.0;75;152.0;2;150;7
131;IZA;1;1;B;379.0;139;240.0;6;234;7
132;IZAGAONDOA;1;1;U;152.0;47;105.0;2;103;7
133;IZALZU;1;1;U;46.0;11;35.0;0;35;0
134;JAURRIETA;1;1;U;244.0;100;144.0;0;144;2
135;JAVIER;1;1;U;115.0;115;0.0;0;0;0
136;JUSLAPEÑA;1;1;A;179.0;77;102.0;2;100;2
136;JUSLAPEÑA;1;1;B;235.0;116;119.0;0;119;7
137;LABAIEN;1;1;U;247.0;108;139.0;1;138;2
138;LAKUNTZA;1;1;U;826.0;119;707.0;2;705;23
139;LANA;1;1;U;199.0;94;105.0;0;105;1
140;LANTZ;1;1;U;112.0;36;76.0;0;76;2
141;LAPOBLACION;1;1;U;188.0;68;120.0;1;119;5
142;LARRAGA;1;1;A;603.0;213;390.0;2;388;5
142;LARRAGA;1;1;B;418.0;146;272.0;2;270;6
142;LARRAGA;1;1;C;559.0;208;351.0;2;349;11
143;LARRAONA;1;1;U;148.0;61;87.0;0;87;4
144;LARRAUN;1;1;A;304.0;71;233.0;0;233;4
144;LARRAUN;1;1;B;394.0;150;244.0;0;244;4
144;LARRAUN;1;1;C;325.0;56;269.0;7;262;3
145;LAZAGURRIA;1;1;U;207.0;65;142.0;2;140;2
146;LEACHE;1;1;U;48.0;12;36.0;0;36;0
147;LEGARDA;1;1;U;69.0;15;54.0;0;54;3
148;LEGARIA;1;1;U;121.0;46;75.0;1;74;1
149;LEITZA;1;1;A;615.0;147;468.0;6;462;8
149;LEITZA;1;1;B;611.0;147;464.0;5;459;8
149;LEITZA;1;2;A;647.0;168;479.0;5;474;5
149;LEITZA;1;2;B;650.0;194;456.0;7;449;5
150;LEOZ;1;1;U;246.0;59;187.0;1;186;7
151;LERGA;1;1;U;92.0;25;67.0;2;65;1
152;LERIN;1;1;A;362.0;135;227.0;1;226;3
152;LERIN;1;1;B;434.0;156;278.0;5;273;9
152;LERIN;2;1;A;458.0;176;282.0;2;280;13
152;LERIN;2;1;B;420.0;161;259.0;4;255;4
153;LESAKA;1;1;A;507.0;149;358.0;2;356;7
153;LESAKA;1;1;B;492.0;143;349.0;4;345;11
153;LESAKA;2;1;A;593.0;166;427.0;8;419;13
153;LESAKA;2;1;B;743.0;227;516.0;7;509;8
154;LEZAUN;1;1;U;255.0;118;137.0;5;132;7
155;LIEDENA;1;1;U;289.0;82;207.0;2;205;3
156;LIZOAIN;1;1;U;207.0;37;170.0;1;169;4
157;LODOSA;1;1;A;587.0;183;404.0;6;398;9
157;LODOSA;1;1;B;533.0;172;361.0;5;356;9
157;LODOSA;1;2;A;687.0;166;521.0;6;515;10
157;LODOSA;1;2;B;697.0;180;517.0;2;515;8
157;LODOSA;2;1;A;612.0;198;414.0;3;411;12
157;LODOSA;2;1;B;636.0;195;441.0;3;438;6
158;LONGUIDA;1;1;U;274.0;58;216.0;1;215;11
159;LUMBIER;1;1;A;654.0;110;544.0;11;533;8
159;LUMBIER;1;1;B;579.0;124;455.0;5;450;9
160;LUQUIN;1;1;U;117.0;29;88.0;0;88;3
161;MAÑERU;1;1;U;308.0;118;190.0;0;190;3
162;MARAÑON;1;1;U;70.0;25;45.0;1;44;2
163;MARCILLA;1;1;U;838.0;218;620.0;3;617;8
163;MARCILLA;2;1;A;587.0;128;459.0;3;456;3
163;MARCILLA;2;1;B;597.0;121;476.0;3;473;7
164;MELIDA;1;1;A;412.0;78;334.0;2;332;7
164;MELIDA;1;1;B;330.0;55;275.0;8;267;3
165;MENDAVIA;1;1;B;390.0;90;300.0;6;294;4
165;MENDAVIA;1;1;A;490.0;123;367.0;5;362;18
165;MENDAVIA;1;1;C;547.0;127;420.0;8;412;9
165;MENDAVIA;2;1;A;541.0;115;426.0;1;425;19
165;MENDAVIA;2;1;B;471.0;116;355.0;6;349;12
165;MENDAVIA;2;1;C;593.0;128;465.0;5;460;17
166;MENDAZA;1;1;U;343.0;168;175.0;0;175;2
167;MENDIGORRIA;1;1;U;764.0;136;628.0;4;624;19
168;METAUTEN;1;1;U;283.0;104;179.0;3;176;3
169;MILAGRO;1;1;A;437.0;93;344.0;2;342;3
169;MILAGRO;1;1;B;351.0;351;0.0;0;0;0
169;MILAGRO;2;1;A;611.0;73;538.0;4;534;3
169;MILAGRO;2;1;B;739.0;111;628.0;0;628;8
170;MIRAFUENTES;1;1;U;51.0;11;40.0;1;39;1
171;MIRANDA DE ARGA;1;1;A;433.0;56;377.0;6;371;14
171;MIRANDA DE ARGA;1;1;B;428.0;75;353.0;5;348;7
172;MONREAL;1;1;U;250.0;72;178.0;0;178;9
173;MONTEAGUDO;1;1;A;407.0;35;372.0;2;370;3
173;MONTEAGUDO;1;1;B;592.0;51;541.0;9;532;10
174;MORENTIN;1;1;U;108.0;52;56.0;0;56;2
175;MUES;1;1;U;113.0;35;78.0;1;77;2
176;MURCHANTE;1;1;A;816.0;214;602.0;6;596;12
176;MURCHANTE;1;1;B;810.0;214;596.0;10;586;13
176;MURCHANTE;2;1;U;903.0;236;667.0;15;652;17
177;MURIETA;1;1;U;250.0;97;153.0;0;153;3
178;MURILLO EL CUENDE;1;1;A;72.0;23;49.0;0;49;0
178;MURILLO EL CUENDE;1;1;B;424.0;111;313.0;3;310;9
178;MURILLO EL CUENDE;1;1;C;67.0;9;58.0;1;57;2
179;MURILLO EL FRUTO;1;1;U;667.0;102;565.0;8;557;17
180;MURUZABAL;1;1;U;217.0;60;157.0;0;157;4
181;NAVASCUES;1;1;U;200.0;52;148.0;2;146;5
182;NAZAR;1;1;U;52.0;20;32.0;0;32;0
183;OBANOS;1;1;U;614.0;89;525.0;1;524;11
184;OCO;1;1;U;78.0;29;49.0;0;49;0
185;OCHAGAVIA;1;1;U;626.0;101;525.0;5;520;15
186;ODIETA;1;1;U;268.0;120;148.0;1;147;4
187;OITZ;1;1;U;126.0;45;81.0;2;79;1
188;OLAIBAR;1;1;U;148.0;59;89.0;1;88;4
189;OLAZTI / OLAZAGUTIA;1;1;A;425.0;124;301.0;4;297;9
189;OLAZTI / OLAZAGUTIA;1;1;B;455.0;131;324.0;4;320;16
189;OLAZTI / OLAZAGUTIA;1;1;C;521.0;170;351.0;6;345;15
190;OLEJUA;1;1;U;50.0;17;33.0;0;33;1
191;OLITE;1;1;A;791.0;185;606.0;6;600;9
191;OLITE;1;1;B;756.0;196;560.0;3;557;9
191;OLITE;2;1;A;479.0;113;366.0;2;364;8
191;OLITE;2;1;B;519.0;144;375.0;2;373;4
192;OLORIZ;1;1;U;161.0;45;116.0;1;115;2
193;OLZA;1;1;A;270.0;60;210.0;7;203;14
193;OLZA;1;1;B;447.0;119;328.0;3;325;8
193;OLZA;1;1;C;376.0;88;288.0;3;285;11
194;OLLO;1;1;U;352.0;102;250.0;1;249;12
195;ORBAITZETA;1;1;U;211.0;73;138.0;1;137;4
196;ORBARA;1;1;U;56.0;11;45.0;0;45;2
197;ORISOAIN;1;1;U;87.0;37;50.0;0;50;2
198;ORONZ;1;1;U;47.0;15;32.0;0;32;1
199;OROZ-BETELU;1;1;U;213.0;78;135.0;5;130;3
200;OTEIZA;1;1;U;797.0;193;604.0;11;593;22
201;PAMPLONA / IRUÑA;1;1;U;769.0;304;465.0;5;460;4
201;PAMPLONA / IRUÑA;1;2;U;579.0;199;380.0;1;379;6
201;PAMPLONA / IRUÑA;1;3;U;727.0;286;441.0;1;440;7
201;PAMPLONA / IRUÑA;1;4;A;401.0;137;264.0;1;263;10
201;PAMPLONA / IRUÑA;1;4;B;385.0;138;247.0;4;243;5
201;PAMPLONA / IRUÑA;1;5;B;478.0;189;289.0;7;282;5
201;PAMPLONA / IRUÑA;1;5;A;454.0;170;284.0;3;281;4
201;PAMPLONA / IRUÑA;1;6;U;666.0;239;427.0;2;425;9
201;PAMPLONA / IRUÑA;1;7;U;639.0;248;391.0;0;391;4
201;PAMPLONA / IRUÑA;1;8;U;751.0;315;436.0;4;432;9
201;PAMPLONA / IRUÑA;1;9;A;463.0;151;312.0;2;310;8
201;PAMPLONA / IRUÑA;1;9;B;387.0;138;249.0;1;248;0
201;PAMPLONA / IRUÑA;1;10;A;412.0;130;282.0;2;280;6
201;PAMPLONA / IRUÑA;1;10;B;458.0;154;304.0;1;303;6
201;PAMPLONA / IRUÑA;1;11;A;398.0;181;217.0;2;215;2
201;PAMPLONA / IRUÑA;1;11;B;393.0;167;226.0;1;225;3
201;PAMPLONA / IRUÑA;1;12;U;696.0;335;361.0;2;359;3
201;PAMPLONA / IRUÑA;1;13;A;471.0;172;299.0;1;298;1
201;PAMPLONA / IRUÑA;1;13;B;515.0;214;301.0;1;300;2
201;PAMPLONA / IRUÑA;2;1;A;563.0;204;359.0;3;356;8
201;PAMPLONA / IRUÑA;2;1;B;549.0;194;355.0;2;353;11
201;PAMPLONA / IRUÑA;2;2;A;460.0;130;330.0;0;330;8
201;PAMPLONA / IRUÑA;2;2;B;436.0;136;300.0;1;299;3
201;PAMPLONA / IRUÑA;2;3;B;542.0;174;368.0;1;367;5
201;PAMPLONA / IRUÑA;2;3;A;343.0;84;259.0;0;259;3
201;PAMPLONA / IRUÑA;2;4;A;640.0;198;442.0;3;439;10
201;PAMPLONA / IRUÑA;2;4;B;577.0;182;395.0;0;395;6
201;PAMPLONA / IRUÑA;2;4;C;581.0;204;377.0;0;377;8
201;PAMPLONA / IRUÑA;2;5;B;588.0;163;425.0;5;420;8
201;PAMPLONA / IRUÑA;2;5;C;516.0;141;375.0;2;373;11
201;PAMPLONA / IRUÑA;2;5;A;460.0;120;340.0;0;340;12
201;PAMPLONA / IRUÑA;2;6;B;580.0;190;390.0;1;389;7
201;PAMPLONA / IRUÑA;2;6;A;619.0;207;412.0;0;412;12
201;PAMPLONA / IRUÑA;2;7;A;461.0;140;321.0;1;320;10
201;PAMPLONA / IRUÑA;2;7;B;504.0;161;343.0;1;342;8
201;PAMPLONA / IRUÑA;2;8;A;566.0;183;383.0;5;378;8
201;PAMPLONA / IRUÑA;2;8;B;568.0;174;394.0;4;390;6
201;PAMPLONA / IRUÑA;2;9;A;585.0;207;378.0;3;375;10
201;PAMPLONA / IRUÑA;2;9;B;539.0;215;324.0;2;322;3
201;PAMPLONA / IRUÑA;2;10;A;589.0;208;381.0;1;380;14
201;PAMPLONA / IRUÑA;2;10;B;589.0;189;400.0;3;397;14
201;PAMPLONA / IRUÑA;2;11;A;623.0;210;413.0;2;411;12
201;PAMPLONA / IRUÑA;2;11;B;612.0;195;417.0;1;416;11
201;PAMPLONA / IRUÑA;2;12;A;678.0;222;456.0;1;455;5
201;PAMPLONA / IRUÑA;2;12;B;651.0;204;447.0;2;445;16
201;PAMPLONA / IRUÑA;2;13;A;426.0;142;284.0;3;281;8
201;PAMPLONA / IRUÑA;2;13;B;397.0;119;278.0;1;277;8
201;PAMPLONA / IRUÑA;2;14;A;656.0;187;469.0;2;467;6
201;PAMPLONA / IRUÑA;2;14;B;592.0;179;413.0;3;410;14
201;PAMPLONA / IRUÑA;2;15;A;429.0;128;301.0;1;300;5
201;PAMPLONA / IRUÑA;2;15;B;462.0;153;309.0;1;308;10
201;PAMPLONA / IRUÑA;2;16;A;429.0;166;263.0;0;263;11
201;PAMPLONA / IRUÑA;2;16;B;414.0;149;265.0;0;265;12
201;PAMPLONA / IRUÑA;2;17;A;448.0;164;284.0;0;284;3
201;PAMPLONA / IRUÑA;2;17;B;379.0;124;255.0;4;251;4
201;PAMPLONA / IRUÑA;3;1;A;431.0;157;274.0;0;274;4
201;PAMPLONA / IRUÑA;3;1;B;445.0;168;277.0;0;277;5
201;PAMPLONA / IRUÑA;3;2;B;467.0;142;325.0;2;323;8
201;PAMPLONA / IRUÑA;3;2;A;450.0;160;290.0;1;289;10
201;PAMPLONA / IRUÑA;3;3;A;527.0;165;362.0;1;361;6
201;PAMPLONA / IRUÑA;3;3;B;642.0;213;429.0;1;428;7
201;PAMPLONA / IRUÑA;3;3;C;609.0;206;403.0;3;400;6
201;PAMPLONA / IRUÑA;3;4;A;410.0;161;249.0;2;247;3
201;PAMPLONA / IRUÑA;3;4;B;383.0;158;225.0;0;225;2
201;PAMPLONA / IRUÑA;3;5;A;517.0;204;313.0;1;312;9
201;PAMPLONA / IRUÑA;3;6;A;517.0;165;352.0;2;350;13
201;PAMPLONA / IRUÑA;3;6;B;552.0;163;389.0;2;387;7
201;PAMPLONA / IRUÑA;3;6;C;531.0;177;354.0;2;352;5
201;PAMPLONA / IRUÑA;3;7;A;602.0;151;451.0;1;450;16
201;PAMPLONA / IRUÑA;3;7;B;608.0;169;439.0;2;437;12
201;PAMPLONA / IRUÑA;3;8;A;430.0;189;241.0;0;241;4
201;PAMPLONA / IRUÑA;3;8;B;506.0;189;317.0;0;317;4
201;PAMPLONA / IRUÑA;3;8;C;432.0;169;263.0;0;263;0
201;PAMPLONA / IRUÑA;3;9;A;605.0;240;365.0;2;363;5
201;PAMPLONA / IRUÑA;3;9;B;552.0;218;334.0;1;333;11
201;PAMPLONA / IRUÑA;3;10;A;579.0;210;369.0;2;367;6
201;PAMPLONA / IRUÑA;3;10;B;618.0;237;381.0;5;376;10
201;PAMPLONA / IRUÑA;3;11;A;620.0;166;454.0;0;454;18
201;PAMPLONA / IRUÑA;3;11;B;555.0;142;413.0;3;410;21
201;PAMPLONA / IRUÑA;3;12;A;523.0;187;336.0;4;332;5
201;PAMPLONA / IRUÑA;3;12;B;539.0;187;352.0;2;350;11
201;PAMPLONA / IRUÑA;3;13;A;581.0;241;340.0;3;337;9
201;PAMPLONA / IRUÑA;3;13;B;588.0;226;362.0;1;361;7
201;PAMPLONA / IRUÑA;3;14;C;549.0;189;360.0;2;358;13
201;PAMPLONA / IRUÑA;3;14;A;550.0;182;368.0;0;368;7
201;PAMPLONA / IRUÑA;3;14;B;491.0;193;298.0;3;295;4
201;PAMPLONA / IRUÑA;3;15;A;522.0;158;364.0;2;362;7
201;PAMPLONA / IRUÑA;3;15;B;598.0;208;390.0;2;388;2
201;PAMPLONA / IRUÑA;3;15;C;564.0;205;359.0;2;357;11
201;PAMPLONA / IRUÑA;3;16;A;514.0;167;347.0;4;343;13
201;PAMPLONA / IRUÑA;3;16;B;532.0;185;347.0;2;345;8
201;PAMPLONA / IRUÑA;3;17;A;582.0;188;394.0;0;394;9
201;PAMPLONA / IRUÑA;3;17;B;564.0;157;407.0;2;405;12
201;PAMPLONA / IRUÑA;3;18;A;513.0;171;342.0;1;341;6
